work_id,expert_id
1,16
1,29
1,55
1,73
1,82
2,1
2,20
2,64
2,76
2,118
3,1
3,13
3,43
3,90
3,92
4,54
4,64
4,90
4,107
4,113
5,4
5,39
5,66
5,103
5,106
6,27
6,45
6,74
6,99
6,104
7,1
7,10
7,27
7,74
7,86
8,11
8,33
8,47
8,106
8,111
9,4
9,5
9,21
9,32
9,122
10,18
10,36
10,52
10,109
10,125
11,8
11,35
11,40
11,117
11,119
12,15
12,29
12,63
12,81
12,112
13,6
13,15
13,24
13,40
13,119
14,12
14,18
14,20
14,30
14,52
15,49
15,65
15,75
15,79
15,115
16,51
16,77
16,80
16,84
16,97
17,61
17,62
17,71
17,79
17,121
18,33
18,47
18,58
18,62
18,108
19,1
19,22
19,28
19,77
19,95
20,9
20,18
20,29
20,57
20,124
21,17
21,70
21,72
21,74
21,115
22,16
22,60
22,69
22,89
22,106
23,20
23,25
23,26
23,28
23,30
24,9
24,15
24,29
24,55
24,112
25,14
25,61
25,79
25,99
25,121
26,22
26,35
26,61
26,87
26,115
27,7
27,22
27,70
27,88
27,94
28,2
28,76
28,78
28,102
28,118
29,1
29,20
29,22
29,90
29,94
30,16
30,33
30,60
30,106
30,108
31,28
31,55
31,93
31,110
31,125
32,10
32,12
32,33
32,53
32,106
33,28
33,66
33,93
33,95
33,103
34,16
34,33
34,60
34,106
34,108
35,27
35,59
35,67
35,107
35,118
36,70
36,72
36,77
36,85
36,104
37,23
37,26
37,34
37,84
37,114
38,5
38,21
38,32
38,46
38,96
39,18
39,49
39,50
39,109
39,125
40,25
40,44
40,74
40,76
40,116
41,17
41,31
41,65
41,71
41,91
42,11
42,33
42,47
42,101
42,106
43,10
43,42
43,53
43,111
43,113
44,45
44,64
44,76
44,97
44,118
45,18
45,36
45,52
45,57
45,109
46,15
46,29
46,40
46,55
46,110
47,3
47,31
47,65
47,68
47,75
48,63
48,85
48,92
48,95
48,112
49,17
49,31
49,48
49,71
49,74
50,24
50,25
50,110
