stage,expert_code,n,mean,std,median,mad,cv,raw_min,raw_max,cv_weight,calibration_n,calibration_spearman_score_vs_negative_rank,calibration_p_value,calibration_weight
phase1,P003,119,48.865546218487395,12.871545526199066,48.0,10.3782,0.26340738050175216,0.0,80.0,0.7915103358054295,,,,
phase1,P037,120,63.525,14.866895433544043,62.0,11.8608,0.2340321988751522,25.0,95.0,0.8103516268955723,,,,
phase1,P117,119,39.134453781512605,12.40279108128072,37.0,13.343399999999999,0.31692766559424645,20.0,78.0,0.7593431485462514,,,,
phase1,P125,120,55.75833333333333,12.029372898240789,56.5,11.119499999999999,0.2157412565818106,30.0,85.0,0.822543443834101,,,,
phase1,P154,119,55.78991596638655,14.089227733572613,59.0,11.8608,0.25254075919493013,21.0,83.0,0.7983772126048412,,,,
phase1,P183,120,40.075,7.059367100919615,39.0,4.4478,0.1761538889811507,16.0,60.0,0.85022887682347,,,,
phase1,P223,1,55.0,0.0,55.0,0.0,0.0,55.0,55.0,1.0,4.0,1.0,,0.6428571428571428
phase1,P239,119,53.470588235294116,15.037706014995099,53.0,16.3086,0.28123322580298865,23.0,85.0,0.7804980232020357,,,,
phase1,P253,120,61.21666666666667,14.097012815065582,61.0,10.3782,0.23028063406042334,22.0,96.0,0.8128226782694253,,,,
phase1,P255,119,49.403361344537814,12.206777311576767,49.0,8.8956,0.24708394286062857,0.0,75.0,0.8018706404848305,4.0,-1.0,,0.35714285714285715
phase1,P260,120,53.84166666666667,14.081990306075067,54.5,14.0847,0.2615444724855298,20.0,91.0,0.7926791498913807,,,,
phase1,P262,119,57.91596638655462,13.283467379640724,60.0,13.343399999999999,0.22935760565543328,20.0,85.0,0.813432963199385,,,,
phase1,P271,1,22.0,0.0,22.0,0.0,0.0,22.0,22.0,1.0,,,,
phase1,P275,1,56.0,0.0,56.0,0.0,0.0,56.0,56.0,1.0,,,,
phase1,P280,120,47.541666666666664,14.110545453567658,48.5,14.0847,0.29680376063595426,20.0,75.0,0.7711266965401138,,,,
phase1,P288,120,55.675,15.169165152656602,59.0,13.343399999999999,0.272459185498996,0.0,82.0,0.7858798234128422,,,,
phase1,P290,120,71.525,9.82020083999381,73.0,7.412999999999999,0.13729746018865863,30.0,85.0,0.8792774406039005,,,,
phase1,P301,120,42.575,12.121002329798953,43.0,7.412999999999999,0.28469764720608226,16.0,83.0,0.7783932679994914,,,,
phase1,P308,120,41.56666666666667,10.115080125158444,43.0,7.412999999999999,0.24334595329170272,20.0,60.0,0.8042813806990282,,,,
phase1,P322,119,41.66386554621849,14.82112401723673,41.0,11.8608,0.3557308910954358,0.0,83.0,0.737609511274023,1.0,,,0.5
phase1,P326,119,35.57142857142857,10.964172338144484,34.0,11.8608,0.3082297444458289,20.0,63.0,0.7643917318388169,,,,
phase1,P340,119,63.32773109243698,11.779837157299742,65.0,7.412999999999999,0.18601388292445187,30.0,80.0,0.8431604506468491,,,,
phase1,P345,120,32.28333333333333,9.368446355444746,32.5,9.636899999999999,0.290194517979703,20.0,66.0,0.775076925273164,,,,
phase1,P370,119,38.57983193277311,15.560976723254987,36.0,14.825999999999999,0.4033448551660517,5.0,75.0,0.7125832230892915,2.0,,,0.5
phase1,P372,120,71.88333333333334,12.325544516127781,76.0,7.412999999999999,0.17146595663521141,30.0,88.0,0.8536312936248602,2.0,,,0.5
phase1,P376,120,47.025,14.150726738471446,48.0,11.8608,0.3009192288882817,20.0,80.0,0.7686872311469819,2.0,,,0.5
phase1,P378,119,54.76470588235294,16.155864696997092,60.0,14.825999999999999,0.29500504817287926,20.0,82.0,0.7721977620171432,,,,
phase1,P381,1,35.0,0.0,35.0,0.0,0.0,35.0,35.0,1.0,,,,
phase1,P388,119,58.285714285714285,14.536419987509605,60.0,14.825999999999999,0.24939936253080205,20.0,91.0,0.8003845927809544,,,,
phase1,P394,120,46.175,13.372907831341179,48.0,11.8608,0.2896135967805345,20.0,80.0,0.7754260675418261,,,,
phase1,P407,119,68.38655462184875,18.831144975269517,72.0,16.3086,0.2753632651827319,20.0,95.0,0.7840903272815544,,,,
phase1,P431,120,50.225,11.852356784392622,51.0,4.4478,0.23598520227760322,20.0,78.0,0.8090711750895212,,,,
phase1,P434,119,45.63865546218487,14.298115967175402,46.0,14.825999999999999,0.31328959677662915,20.0,75.0,0.7614466774536439,,,,
phase1,P440,119,49.411764705882355,11.08397206284508,50.0,8.8956,0.22431848222424564,20.0,82.0,0.8167809393706763,,,,
phase1,P460,119,52.30252100840336,12.752237837408895,52.0,10.3782,0.2438168866728243,26.0,93.0,0.8039768640502801,,,,
phase1,P493,119,38.11764705882353,11.779166088428486,37.0,11.8608,0.3090213325667967,20.0,70.0,0.7639294907739572,,,,
phase1,P530,119,52.890756302521005,11.9389619370791,54.0,10.3782,0.2257287051973964,20.0,86.0,0.8158412181747476,,,,
phase1,P565,120,47.93333333333333,15.461382271216719,50.0,13.343399999999999,0.32256013083205953,20.0,79.0,0.7561092888614993,,,,
phase1,P593,119,54.18487394957983,14.613649520721548,55.0,11.8608,0.2696997972961948,20.0,78.0,0.7875877448586539,,,,
phase1,P611,1,66.0,0.0,66.0,0.0,0.0,66.0,66.0,1.0,,,,
phase1,P625,119,75.7983193277311,14.318164255933004,80.0,7.412999999999999,0.18889817588204297,25.0,96.0,0.8411149249666402,1.0,,,0.5
phase1,P704,120,60.30833333333333,15.941487459110068,63.0,15.5673,0.26433307932751254,20.0,86.0,0.7909308206441068,1.0,,,0.5
phase2,P037,76,56.89473684210526,4.745746017556976,57.0,4.4478,0.08341274221422992,47.0,72.0,0.9230092660311945,,,,
phase2,P117,73,46.87671232876713,10.92518141913881,43.0,10.3782,0.23306202326041292,30.0,75.0,0.8109892131426124,,,,
phase2,P280,72,56.486111111111114,9.203479218967102,57.5,9.636899999999999,0.16293348998417292,38.0,76.0,0.8598944037750684,,,,
