source,work_no,row_index,stage,slot,expert_code,raw_score,final_score,consensus_rank,prize,n,mean,std,median,mad,cv,raw_min,raw_max,cv_weight,z_score,robust_z,percentile,calibration_n,calibration_spearman_score_vs_negative_rank,calibration_p_value,calibration_weight,final_weight
data2.1,1,3,phase1,expert_1,P440,82.0,292.55,1.0,一等奖,119,49.411764705882355,11.08397206284508,50.0,8.8956,0.22431848222424564,20.0,82.0,0.8167809393706763,2.9401224677710673,3.597284050541841,1.0,,,,0.75,0.6125857045280072
data2.1,1,3,phase1,expert_2,P262,83.0,292.55,1.0,一等奖,119,57.91596638655462,13.283467379640724,60.0,13.343399999999999,0.22935760565543328,20.0,85.0,0.813432963199385,1.888364904775625,1.723698607551299,0.9915966386554622,,,,0.75,0.6100747223995387
data2.1,1,3,phase1,expert_3,P322,83.0,292.55,1.0,一等奖,119,41.66386554621849,14.82112401723673,41.0,11.8608,0.3557308910954358,0.0,83.0,0.737609511274023,2.789001320392991,3.5410764872521248,0.9957983193277311,1.0,,,0.5,0.3688047556370115
data2.1,1,3,phase1,expert_4,P326,61.0,292.55,1.0,一等奖,119,35.57142857142857,10.964172338144484,34.0,11.8608,0.3082297444458289,20.0,63.0,0.7643917318388169,2.319242223154878,2.2764063132335086,0.9915966386554622,,,,0.75,0.5732937988791127
data2.1,1,3,phase1,expert_5,P593,70.0,292.55,1.0,一等奖,119,54.18487394957983,14.613649520721548,55.0,11.8608,0.2696997972961948,20.0,78.0,0.7875877448586539,1.0822160493171111,1.264670174018616,0.8613445378151261,,,,0.75,0.5906908086439904
data2.1,1,3,phase2,expert_1,P322,77.0,292.55,1.0,一等奖,68,46.86764705882353,9.873686440903155,47.0,10.3782,0.21067169061230454,30.0,77.0,0.825987761797126,3.0517834571238662,2.890674683471122,1.0,6.0,0.6377481392176932,,0.6195777761033174,0.51176366054282
data2.1,1,3,phase2,expert_2,P326,58.0,292.55,1.0,一等奖,70,44.81428571428572,7.33917986403144,44.0,8.8956,0.16376875692770188,32.0,58.0,0.8592772353160225,1.796619585566516,1.5738117721120555,1.0,,,,0.75,0.6444579264870169
data2.1,1,3,phase2,expert_3,P308,63.0,292.55,1.0,一等奖,70,47.42857142857143,7.080431143368561,47.0,8.1543,0.14928619880596364,30.0,64.0,0.8701052888644598,2.1992203943699904,1.9621549366591862,0.9857142857142858,,,,0.75,0.6525789666483448
data2.1,2,4,phase1,expert_1,P530,76.0,283.24,2.0,一等奖,119,52.890756302521005,11.9389619370791,54.0,10.3782,0.2257287051973964,20.0,86.0,0.8158412181747476,1.9356158281825242,2.1198281012121565,0.9663865546218487,,,,0.75,0.6118809136310608
data2.1,2,4,phase1,expert_2,P370,73.0,283.24,2.0,一等奖,119,38.57983193277311,15.560976723254987,36.0,14.825999999999999,0.4033448551660517,5.0,75.0,0.7125832230892915,2.211954215945065,2.4956158100634025,0.9915966386554622,2.0,,,0.5,0.3562916115446457
data2.1,2,4,phase1,expert_3,P262,75.0,283.24,2.0,一等奖,119,57.91596638655462,13.283467379640724,60.0,13.343399999999999,0.22935760565543328,20.0,85.0,0.813432963199385,1.2861125130347892,1.1241512657943253,0.9033613445378151,,,,0.75,0.6100747223995387
data2.1,2,4,phase1,expert_4,P322,83.0,283.24,2.0,一等奖,119,41.66386554621849,14.82112401723673,41.0,11.8608,0.3557308910954358,0.0,83.0,0.737609511274023,2.789001320392991,3.5410764872521248,0.9957983193277311,1.0,,,0.5,0.3688047556370115
data2.1,2,4,phase1,expert_5,P326,63.0,283.24,2.0,一等奖,119,35.57142857142857,10.964172338144484,34.0,11.8608,0.3082297444458289,20.0,63.0,0.7643917318388169,2.5016545328412167,2.4450290031026576,1.0,,,,0.75,0.5732937988791127
data2.1,2,4,phase2,expert_1,P117,75.0,283.24,2.0,一等奖,73,46.87671232876713,10.92518141913881,43.0,10.3782,0.23306202326041292,30.0,75.0,0.8109892131426124,2.5741712281286517,3.083386329035864,1.0,,,,0.75,0.6082419098569594
data2.1,2,4,phase2,expert_2,P370,66.0,283.24,2.0,一等奖,72,51.263888888888886,9.26905050906473,48.5,6.6716999999999995,0.1808105219866325,35.0,76.0,0.8468759224109629,1.5898188381539011,2.623019620186759,0.9236111111111112,5.0,0.35909242322980395,,0.5598487372049673,0.47412241573106945
data2.1,2,4,phase2,expert_3,P280,75.0,283.24,2.0,一等奖,72,56.486111111111114,9.203479218967102,57.5,9.636899999999999,0.16293348998417292,38.0,76.0,0.8598944037750684,2.01161848127329,1.815936660129295,0.9861111111111112,,,,0.75,0.6449208028313014
data2.1,3,5,phase1,expert_1,P345,34.0,280.39,3.0,一等奖,120,32.28333333333333,9.368446355444746,32.5,9.636899999999999,0.290194517979703,20.0,66.0,0.775076925273164,0.1832392054707105,0.15565171372536812,0.5833333333333334,,,,0.75,0.5813076939548729
data2.1,3,5,phase1,expert_2,P376,67.0,280.39,3.0,一等奖,120,47.025,14.150726738471446,48.0,11.8608,0.3009192288882817,20.0,80.0,0.7686872311469819,1.4115882787626843,1.6019155537569136,0.925,2.0,,,0.5,0.38434361557349095
