source,work_no,row_index,final_score,consensus_rank,prize,raw_mean,classic_z,robust_z,percentile,cv_weighted_z,calibrated_weighted_z,review_count,expert_count,raw_mean_rank,classic_z_rank,robust_z_rank,percentile_rank,cv_weighted_z_rank,calibrated_weighted_z_rank
data2.1,1,3,292.55,1.0,一等奖,72.125,2.2583213003090057,2.353722128104969,0.9782563025210085,2.254444912207153,2.2140289673096882,8,6,4.0,1.0,3.0,2.0,1.0,1.0
data2.1,2,4,283.24,2.0,一等奖,73.25,2.1124933697440538,2.406005409597073,0.9708581349206349,2.096124660505373,2.080381782641038,8,7,2.0,2.0,2.0,3.0,2.0,2.0
data2.1,3,5,280.39,3.0,一等奖,67.375,1.4394021445912888,1.628894669414702,0.8653951486697966,1.4398673033120435,1.3992059561705448,8,7,21.0,15.0,22.0,22.0,15.0,16.0
data2.1,4,6,272.46,4.0,一等奖,66.75,1.714509109548431,1.978781369716214,0.9411045499280793,1.7446092565902054,1.7446092565902052,8,8,28.0,4.0,7.0,4.0,4.0,4.0
data2.1,5,7,269.46,5.0,一等奖,67.125,1.44125550645962,1.7043579556226258,0.8597225715403533,1.4599743897471669,1.4609975928737553,8,7,25.0,14.0,18.0,25.0,13.0,13.0
data2.1,6,8,265.38,6.0,一等奖,61.375,1.3307457593748668,1.627756433503095,0.8395628503890888,1.3222852092334476,1.3226626435533082,8,7,93.0,19.0,23.0,31.0,18.0,19.0
data2.1,7,9,263.01,7.0,一等奖,73.875,1.975911963557698,2.768888107899589,0.8828411938348357,1.9940852911776612,1.9940852911776612,8,8,1.0,3.0,1.0,15.0,3.0,3.0
data2.1,8,10,262.78,8.0,一等奖,72.25,1.4533094990822613,2.248168704057009,0.9220796173117499,1.4674066604141247,1.4729860283510379,8,8,3.0,12.0,4.0,5.0,12.0,12.0
data2.1,9,11,261.38,9.0,一等奖,69.875,1.3256365766480918,1.8732869046507252,0.8727838541361221,1.314315117308797,1.2947278429344606,8,8,11.0,21.0,10.0,20.0,21.0,24.0
data2.1,10,12,260.39,20.0,二等奖,63.375,1.207014125415966,1.5098658423729248,0.8072577172760996,1.234387722983769,1.2473501436516377,8,7,49.0,29.0,25.0,42.0,27.0,27.0
data2.1,11,13,259.93,10.0,一等奖,70.625,1.6386650668037253,1.9092930616605241,0.9044709348624651,1.6223634592018683,1.6197848915142625,8,8,9.0,5.0,8.0,12.0,6.0,5.0
data2.1,12,14,259.63,11.0,一等奖,66.125,1.176574564786842,1.2062483733871836,0.8146810807656395,1.1976016545302202,1.221039574947123,8,8,31.0,31.0,43.0,38.0,30.0,29.0
data2.1,13,15,256.46,12.0,一等奖,64.0,1.520118716942259,1.6794503591346976,0.9076478727455894,1.505442922042788,1.5035649242804632,8,7,44.0,11.0,20.0,11.0,11.0,10.0
data2.1,14,16,255.7,13.0,一等奖,69.125,1.405630348702647,1.680939085756015,0.9161932138337255,1.4002717984843902,1.4002717984843902,8,7,13.0,16.0,19.0,6.0,16.0,15.0
data2.1,15,17,253.74,14.0,一等奖,67.875,1.5372249870453467,1.7834859218594763,0.8827659972263618,1.5140565093647227,1.4996131505729562,8,7,19.0,10.0,12.0,16.0,10.0,11.0
data2.1,16,18,253.58,15.0,一等奖,63.875,1.1572489576018312,1.1583117037306692,0.8389096019545998,1.155877517237895,1.1326475386630293,8,8,47.0,33.0,47.0,33.0,33.0,33.0
data2.1,17,19,253.53,16.0,一等奖,66.375,1.579813026854663,1.7190649462502963,0.9139729264993668,1.5600124293308852,1.5399175290827045,8,8,29.0,8.0,16.0,7.0,7.0,9.0
data2.1,18,20,252.85,17.0,一等奖,60.25,1.2879685754920531,1.3493434615955864,0.8742190955329501,1.277745889650124,1.2502361417798356,8,7,139.0,25.0,35.0,17.0,25.0,26.0
data2.1,19,21,252.07,18.0,一等奖,61.625,1.0711988427254706,1.0858543774580325,0.7977253908320084,1.0599312306976916,1.0762696794009907,8,8,83.0,41.0,53.0,47.0,41.0,39.0
data2.1,20,22,251.82,19.0,一等奖,65.0,1.633670164957031,1.9888289629791047,0.8729368051155977,1.6319892204110136,1.5559972973735745,8,7,37.0,6.0,6.0,19.0,5.0,7.0
data2.1,21,23,251.53,21.0,二等奖,68.625,1.449165976032424,1.7619742174578272,0.9111709267040149,1.4402182263209056,1.4335726162370288,8,8,15.0,13.0,14.0,8.0,14.0,14.0
data2.1,22,24,251.23,22.0,二等奖,66.0,1.3249321639588971,1.587577992626556,0.907976280571466,1.318405395185206,1.3080263102507836,8,8,32.0,22.0,24.0,10.0,20.0,22.0
data2.1,23,25,250.87,23.0,二等奖,71.25,1.5558338184145215,2.075369592848666,0.9081966631414026,1.5558251610528906,1.5558251610528904,8,8,7.0,9.0,5.0,9.0,9.0,8.0
data2.1,24,26,250.67,24.0,二等奖,62.5,1.1760454559925306,1.3596512846363749,0.8358638444116385,1.1753024376447618,1.134462458831206,8,7,70.0,32.0,34.0,34.0,31.0,32.0
data2.1,25,27,249.79,25.0,二等奖,65.625,1.2634796388489427,1.4060371532708538,0.8604198221010041,1.2564098908682981,1.2319274933367488,8,8,35.0,26.0,31.0,24.0,26.0,28.0
data2.1,26,28,247.35,26.0,二等奖,66.375,1.1333098986494798,1.5085956383294987,0.8740820782218848,1.1327671104176453,1.120366547833412,8,8,29.0,35.0,26.0,18.0,35.0,34.0
data2.1,27,29,246.65,27.0,二等奖,65.875,1.3705110323026115,1.474620303029854,0.8705659318521929,1.352269052224639,1.3591440628388647,8,8,34.0,17.0,28.0,21.0,17.0,17.0
data2.1,28,30,246.51,28.0,二等奖,64.625,0.9433550155601957,1.0613720663455481,0.7478564776667697,0.9674650950827511,0.9885415574630848,8,8,39.0,49.0,57.0,72.0,46.0,44.0
data2.1,29,31,245.69,29.0,二等奖,61.625,1.1561203114263314,1.1684329710938373,0.8463774325519682,1.1346682826056018,1.110773670113544,8,8,83.0,34.0,46.0,29.0,34.0,36.0
data2.1,30,32,245.59,30.0,二等奖,70.75,1.2277955764589885,1.7943698386838818,0.8345712364762021,1.2031786327322684,1.2018514024686866,8,8,8.0,27.0,11.0,35.0,28.0,30.0
data2.1,31,33,244.66,31.0,二等奖,67.375,1.5850468312276749,1.9044916480165366,0.8343018964342495,1.5565139271278408,1.5565139271278408,8,7,21.0,7.0,9.0,36.0,8.0,6.0
data2.1,32,34,244.42,32.0,二等奖,60.375,0.9496907833190656,1.063527393960417,0.7801907863602062,0.9555867279641126,0.9278188894301809,8,7,135.0,48.0,55.0,56.0,48.0,47.0
data2.1,33,35,243.34,34.0,二等奖,61.5,0.8554288557351959,1.0766424920613509,0.7050969458124547,0.8445280428823583,0.7202234291685958,8,8,88.0,60.0,54.0,102.0,59.0,77.0
data2.1,34,36,243.31,33.0,二等奖,67.375,1.1041081694951498,1.2549033378151144,0.8072107310207155,1.1107955665239273,1.1160321029616929,8,8,21.0,37.0,40.0,43.0,36.0,35.0
data2.1,35,37,243.08,35.0,二等奖,62.875,1.3399816289938995,1.4779669271777731,0.8492029075509079,1.3214857326400018,1.3569006986831222,8,8,63.0,18.0,27.0,28.0,19.0,18.0
data2.1,36,38,241.32,36.0,二等奖,71.875,1.2946413875762777,1.6696837568954122,0.9007958588840941,1.2792037934086946,1.3194425312641183,8,8,6.0,24.0,21.0,13.0,24.0,20.0
data2.1,37,39,240.77,37.0,二等奖,63.25,0.799957742996988,0.9122657847870312,0.7388985119296652,0.8173525661998664,0.8173525661998664,8,7,53.0,66.0,72.0,76.0,65.0,65.0
data2.1,38,40,240.25,38.0,二等奖,59.625,1.2102021923204054,1.3067619742548922,0.8638845121381886,1.2029367829468909,1.2568423364391994,8,6,157.0,28.0,37.0,23.0,29.0,25.0
data2.1,39,41,240.16,39.0,二等奖,66.875,1.298659607641743,1.7675895556681092,0.8854927669265905,1.2900183701546317,1.3074557946390588,8,8,27.0,23.0,13.0,14.0,23.0,23.0
data2.1,40,42,238.57,40.0,二等奖,56.875,0.666375235147656,0.7100661883644482,0.7069213156084404,0.672250818989916,0.672250818989916,8,7,285.0,94.0,108.0,100.0,91.0,88.0
data2.1,41,43,238.48,41.0,二等奖,63.125,0.8860881793660298,1.031749438265019,0.7961830894638557,0.8949254373957282,0.8713721957509944,8,8,58.0,53.0,59.0,49.0,53.0,54.0
