work_id,original_score,zscore,robust_zscore,percentile,rank_original,rank_zscore,rank_robust,rank_percentile
0,,,,,,,,
1,102.03333333333335,0.05590538421080749,0.08047830014783071,50.758003766478346,803.0,594.0,546.0,602.0
2,98.36,-0.17697115272054909,-0.1347339055216439,46.65489642184557,827.0,647.0,615.0,676.0
3,79.3,0.12141278652010182,0.10350528432940323,57.520934221146085,876.0,580.0,541.0,524.0
4,79.13499999999999,0.5275273670233754,0.4052123383617765,68.78026634382566,877.0,6.0,8.0,1.0
5,96.66666666666667,0.0018911659872298814,0.036172214129574574,54.091337099811675,841.0,606.0,568.0,567.0
6,76.3825,-0.10978828504012855,-0.056107853474741565,47.56658595641647,885.0,633.0,592.0,672.0
7,80.8,0.9010096737388714,0.7906681666640549,60.81113801452785,873.0,2.0,2.0,392.0
8,95.76999999999998,-0.0046224190266651215,0.03150848297932881,53.246233521657246,847.0,607.0,569.0,578.0
9,76.46000000000001,0.024280209336573766,0.0289509893167523,50.42776432606941,884.0,598.0,571.0,609.0
10,99.20666666666666,0.025850548411366803,0.05832903832797124,53.679378531073446,817.0,597.0,555.0,572.0
11,92.78000000000002,-0.46526093996723766,-0.398929862947639,37.38229755178907,858.0,719.0,703.0,725.0
12,96.31,0.06436140489560016,0.09639458704636213,54.84463276836158,845.0,592.0,543.0,562.0
13,91.70333333333332,-0.5902164666034455,-0.5151655443875238,32.71892655367232,862.0,754.0,746.0,760.0
14,91.17999999999999,-0.6933612189140556,-0.6116219054258965,29.04661016949153,863.0,786.0,774.0,786.0
15,91.87,-0.5479811885099358,-0.47523110846596234,33.104990583804145,860.0,738.0,725.0,756.0
16,93.11333333333334,-0.3929846997455823,-0.33039229934346176,39.31732580037664,856.0,691.0,668.0,703.0
17,95.01333333333332,-0.13704345540143595,-0.09115838066645476,47.33521657250471,850.0,640.0,603.0,673.0
18,90.29,-0.9204488234478622,-0.8239875798064236,24.583333333333332,865.0,835.0,832.0,816.0
19,91.75333333333333,-0.7026078871145683,-0.6201724047548361,28.24623352165725,861.0,788.0,779.0,794.0
20,78.22999999999999,0.42056433289069767,0.32883198226216065,60.47190274414851,878.0,262.0,10.0,422.0
21,96.07666666666665,-0.13936619788986396,-0.09372786651582894,47.57768361581921,846.0,641.0,604.0,671.0
22,92.98,-0.6774663548184136,-0.5972023959180818,28.70291902071563,857.0,778.0,769.0,789.0
23,77.7725,0.20532802134850978,0.13312972919252308,56.29212066182406,880.0,562.0,532.0,540.0
24,94.01666666666665,-0.5904995507315025,-0.5160811618367079,31.266478342749526,853.0,755.0,747.0,770.0
25,92.43666666666665,-0.8585972232279214,-0.7668059053240608,24.272598870056495,859.0,820.0,814.0,819.0
26,94.04333333333334,-0.5443086420458552,-0.4722638769888106,33.39453860640301,852.0,736.0,722.0,753.0
27,93.20666666666666,-0.7005905820011488,-0.6184455751213823,27.222222222222225,855.0,787.0,778.0,803.0
28,77.4925,-0.04323535526516592,-0.041347897598133176,49.42115617433414,881.0,615.0,589.0,667.0
29,95.16333333333334,-0.44771322981429046,-0.38200192713315145,36.6313559322034,849.0,710.0,691.0,733.0
30,77.4125,-0.12936165443122957,-0.11241861127162209,44.201220742534304,882.0,639.0,611.0,681.0
31,98.16333333333331,-0.023635462180675654,0.014612122084648719,50.054143126177024,829.0,609.0,573.0,664.0
32,94.29666666666667,-0.6884532809719272,-0.6074184587866959,28.097928436911488,851.0,784.0,772.0,796.0
33,77.37,-0.28918808068144974,-0.23517236572276606,41.25958434221146,883.0,669.0,642.0,693.0
34,83.0175,1.0130689036506855,0.8488158700046402,65.74329096045199,868.5,1.0,1.0,2.0
35,98.45333333333333,-0.116714915103875,-0.07278230480467081,46.92561205273069,825.0,637.0,598.0,674.0
36,96.71666666666665,-0.3711695732652822,-0.3104769591863899,38.68408662900188,840.0,686.0,661.0,711.0
37,96.77666666666666,-0.3896042706105247,-0.3277553573906201,38.01553672316384,839.0,690.0,666.0,719.0
38,96.84666666666668,-0.4077533741072999,-0.3447757254649819,36.99387947269303,836.0,697.0,676.0,730.0
39,97.21666666666665,-0.39656602936547714,-0.33448420492154324,37.410546139359695,834.0,692.0,670.0,724.0
40,77.93749999999999,-0.1850684997242438,-0.17210539482362397,45.4615617433414,879.0,649.0,621.0,680.0
41,97.92,-0.31381639058036526,-0.2569671280061259,40.1789077212806,831.0,671.0,646.0,699.0
42,98.58,-0.24927447223242927,-0.1967195328110151,42.073917137476464,823.0,660.0,626.0,688.0
43,96.34999999999998,-0.6247547914685673,-0.547913424720043,29.81403013182674,844.0,766.0,753.0,783.0
44,97.22666666666667,-0.4983473951090343,-0.42960828149963476,34.34792843691148,833.0,724.0,710.0,740.0
45,98.82000000000001,-0.284305797412419,-0.22951758157400223,41.04048964218455,821.0,667.0,639.0,694.0
46,96.81,-0.6146171012366949,-0.5383912647639358,30.852165725047083,837.0,763.0,752.0,773.0
47,96.57333333333334,-0.6797899944835329,-0.5992236969446201,28.06261770244821,842.0,782.0,771.0,797.0
48,98.87333333333332,-0.25635439469971744,-0.20291758538053095,42.570621468926554,820.0,662.0,628.0,686.0
49,80.0025,0.10213417954789912,0.04503445441548268,49.63629943502825,875.0,585.0,563.0,666.0
50,98.57000000000001,-0.4518415293344947,-0.38631576032165404,35.765065913371,824.0,713.0,693.0,737.0
51,97.90999999999998,-0.5177940178089556,-0.44757296762166493,33.709981167608284,832.0,729.0,716.0,747.0
52,80.0575,0.05197243370635559,0.003641344928218798,48.21554681194512,874.0,595.0,577.0,668.0
53,96.37666666666668,-0.8537565036844669,-0.7621409857441362,22.23399246704332,843.0,817.0,812.0,830.0
54,101.03000000000002,-0.10690229799836144,-0.0633579043868846,46.80555555555555,808.0,630.0,595.0,675.0
55,97.96666666666668,-0.6356546451574063,-0.5580606586814952,30.127118644067796,830.0,770.0,759.0,781.0
56,97.17333333333333,-0.8066069007107108,-0.7181147677402965,23.839453860640305,835.0,806.0,799.0,822.0
57,98.42666666666668,-0.633207500136884,-0.5559453673476846,30.153013182674197,826.0,769.0,757.0,780.0
58,81.015,0.010335266021090861,-0.014743621880770233,48.035966505246165,872.0,603.0,583.0,669.0
59,96.80666666666666,-0.9747383333266041,-0.8756644741074329,18.891242937853107,838.0,848.0,843.0,853.0
60,100.05000000000001,-0.5525488314588148,-0.4810997703344924,32.780131826742,816.0,739.0,730.0,759.0
61,98.93666666666665,-0.6786451093692517,-0.5988491637444612,28.67702448210922,819.0,780.0,770.0,790.0
62,102.77666666666666,-0.12231543650224563,-0.07854162070649033,46.34180790960452,800.0,638.0,600.0,678.0
63,100.38000000000001,-0.553635919923781,-0.48201086888092465,32.681261770244824,812.0,741.0,731.0,762.0
64,100.98666666666668,-0.4025969810714629,-0.34051465194458164,37.605932203389834,809.0,696.0,673.0,721.0
65,102.51,-0.24958875149574292,-0.19770028777345575,42.605932203389834,801.0,661.0,627.0,685.0
66,82.96,0.2775356972864601,0.17784382417538863,56.94108151735271,870.0,539.0,504.0,535.0
67,98.19333333333333,-1.010154338061718,-0.9092981615678052,17.97316384180791,828.0,853.0,850.0,857.0
