id,std_score,n
1,-7.401486830834377e-17,3
2,-3.700743415417188e-17,3
3,-5.551115123125783e-17,4
4,2.7755575615628914e-17,4
5,-1.4802973661668753e-16,3
6,2.7755575615628914e-17,4
7,-5.551115123125783e-17,4
8,7.401486830834377e-17,3
9,-5.551115123125783e-17,4
10,3.700743415417188e-17,3
11,-1.8503717077085943e-16,3
12,-3.700743415417188e-17,3
13,1.1102230246251565e-16,3
14,3.700743415417188e-17,3
15,0.0,3
16,-7.401486830834377e-17,3
17,1.1102230246251565e-16,3
18,-7.401486830834377e-17,3
19,-3.700743415417188e-17,3
20,5.551115123125783e-17,4
21,1.4802973661668753e-16,3
22,0.0,3
23,8.326672684688674e-17,4
24,7.401486830834377e-17,3
25,1.1102230246251565e-16,3
26,0.0,3
27,-3.700743415417188e-17,3
28,-2.7755575615628914e-17,4
29,-1.1102230246251565e-16,3
30,2.7755575615628914e-17,4
31,1.1102230246251565e-16,3
32,0.0,3
33,-2.7755575615628914e-17,4
34,8.326672684688674e-17,4
35,0.0,3
36,1.4802973661668753e-16,3
37,7.401486830834377e-17,3
38,-1.8503717077085943e-16,3
39,0.0,3
40,1.3877787807814457e-16,4
41,0.0,3
42,7.401486830834377e-17,3
43,7.401486830834377e-17,3
44,-1.4802973661668753e-16,3
45,-1.4802973661668753e-16,3
46,0.0,3
47,3.700743415417188e-17,3
48,1.4802973661668753e-16,3
49,8.326672684688674e-17,4
50,0.0,3
51,2.220446049250313e-16,3
52,-2.7755575615628914e-17,4
53,-1.4802973661668753e-16,3
54,-7.401486830834377e-17,3
55,-3.700743415417188e-17,3
56,-3.700743415417188e-17,3
57,-7.401486830834377e-17,3
58,2.7755575615628914e-17,4
59,1.8503717077085943e-16,3
60,-1.1102230246251565e-16,3
61,1.8503717077085943e-16,3
62,7.401486830834377e-17,3
63,-1.1102230246251565e-16,3
64,-1.1102230246251565e-16,3
65,-3.700743415417188e-17,3
66,1.1102230246251565e-16,4
67,7.401486830834377e-17,3
68,7.401486830834377e-17,3
69,-1.4802973661668753e-16,3
70,1.1102230246251565e-16,3
71,1.6653345369377348e-16,4
72,0.0,3
73,0.0,3
74,-7.401486830834377e-17,3
75,2.220446049250313e-16,3
76,7.401486830834377e-17,3
77,-7.401486830834377e-17,3
78,0.0,3
79,7.401486830834377e-17,3
80,-7.401486830834377e-17,3
81,-7.401486830834377e-17,3
82,0.0,3
83,2.7755575615628914e-17,4
84,0.0,3
85,-2.220446049250313e-16,3
86,-7.401486830834377e-17,3
87,7.401486830834377e-17,3
88,7.401486830834377e-17,3
89,-1.4802973661668753e-16,3
90,2.9605947323337506e-16,3
91,1.3877787807814457e-16,4
92,-1.4802973661668753e-16,3
93,0.0,3
94,7.401486830834377e-17,3
95,-7.401486830834377e-17,3
96,-7.401486830834377e-17,3
97,-7.401486830834377e-17,3
98,-7.401486830834377e-17,3
99,-2.220446049250313e-16,3
100,-2.220446049250313e-16,3
101,-7.401486830834377e-17,3
102,-2.220446049250313e-16,3
103,-1.3877787807814457e-16,4
104,-7.401486830834377e-17,3
105,7.401486830834377e-17,3
106,0.0,3
107,1.4802973661668753e-16,3
108,0.0,3
109,1.4802973661668753e-16,3
110,-1.4802973661668753e-16,3
111,-7.401486830834377e-17,3
112,0.0,3
113,0.0,3
114,-2.9605947323337506e-16,3
115,0.0,3
