work_idx,expert_1_raw,expert_2_raw,expert_3_raw,expert_4_raw,expert_5_raw,z_score_score,robust_z_score,percentile_score
0,82,83,83,61,70,1.4906733671528674,1.4448252408592352,1.5226749032615725
1,76,73,75,83,63,1.3539960019743604,1.3084806285939432,1.4143336601693146
2,34,67,70,77,82,0.7936721966778788,0.7156205456488743,0.755409247483944
3,56,52,75,80,88,1.0586739027575713,0.9748513997805783,1.1350264755370845
4,95,36,70,68,65,0.9307213472404674,0.9120561528493543,0.8790429954527589
5,76,56,59,51,68,0.6323081470105112,0.6166952342589738,0.5853471943191257
6,80,57,96,69,82,1.5203907899192601,1.4493532907130642,1.626690322012547
7,70,73,71,70,95,1.4215768019951587,1.3313724361883004,1.5722814360005324
8,75,70,71,64,94,1.372433350023013,1.2907772114570983,1.4775807573829811
9,91,60,60,43,68,0.8052787046249115,0.7973455565523555,0.6978769219857547
10,56,78,70,87,78,1.2933262115613249,1.2150896003587222,1.3887952740912897
11,63,39,72,79,80,0.8527535370311972,0.7907421505155217,0.8385296987694213
12,60,65,67,54,80,0.7972057874281738,0.7483860175078305,0.7568913605165098
13,84,70,66,57,78,1.1783820374503353,1.1343393779654403,1.104026640350972
14,69,85,68,65,61,1.1003400107616221,1.0706007873146683,1.1196495341353638
15,66,67,55,62,76,0.7958817389315378,0.7537316319186007,0.772563743884406
16,77,66,69,53,82,1.0714143073747944,1.0221129201299175,1.0505698138914137
17,56,58,67,71,55,0.5775677338705832,0.5601575006674158,0.5332924679242804
18,46,58,65,72,77,0.666593895918426,0.6089598157586826,0.5900580715444418
19,77,75,61,70,50,0.9294402202728754,0.9229989399961072,0.917090483874539
20,76,81,69,78,64,1.3332209440201146,1.2901168708534148,1.3136194779678916
21,44,72,71,80,78,0.992817293689218,0.9192570099085682,0.9913837530008568
22,91,78,68,80,66,1.5258448703373293,1.4821502073626722,1.4470753689348306
23,89,67,60,63,47,0.8649712499588045,0.8748884102991752,0.7936539418773831
24,95,68,64,71,44,1.0654039484373787,1.073179260148099,1.0226454621106587
25,62,64,50,76,96,1.012516284319646,0.9268037596649495,1.2913696291839032
26,45,80,80,83,68,1.1475555119491063,1.082424028599666,1.21276889009739
