专家A,专家B,共同评审作品数
1,2,4
1,3,4
1,4,4
1,5,4
1,6,3
1,7,4
1,8,4
1,9,4
1,10,4
1,11,4
1,12,4
1,13,3
1,14,4
1,15,4
1,16,4
1,17,4
1,18,4
1,19,4
1,20,5
1,21,4
1,22,4
1,23,4
1,24,4
1,25,4
1,26,4
1,27,4
1,28,4
1,29,4
1,30,4
1,31,4
1,32,4
1,33,3
1,34,4
1,35,4
1,36,4
1,37,4
1,38,4
1,39,4
1,40,4
1,41,4
1,42,4
1,43,4
1,44,4
1,45,4
1,46,4
1,47,3
1,48,4
1,49,4
1,50,3
1,51,4
1,52,4
1,53,4
1,54,4
1,55,3
1,56,4
1,57,4
1,58,4
1,59,4
1,60,4
1,61,4
1,62,3
1,63,3
1,64,4
1,65,4
1,66,4
1,67,4
1,68,3
1,69,3
1,70,4
1,71,4
1,72,4
1,73,3
1,74,4
1,75,4
1,76,4
1,77,4
1,78,4
1,79,4
1,80,4
1,81,5
1,82,3
1,83,4
1,84,4
1,85,4
1,86,4
1,87,4
1,88,4
1,89,4
1,90,4
1,91,4
1,92,4
1,93,4
1,94,4
1,95,4
1,96,4
1,97,4
1,98,4
1,99,4
1,100,4
1,101,3
1,102,3
1,103,5
1,104,4
1,105,4
1,106,4
1,107,3
1,108,4
1,109,3
1,110,3
1,111,4
1,112,4
1,113,4
1,114,3
1,115,4
1,116,3
1,117,4
1,118,3
1,119,4
1,120,4
1,121,5
1,122,4
1,123,4
1,124,4
1,125,4
2,3,4
2,4,3
2,5,4
2,6,4
2,7,4
2,8,4
2,9,4
2,10,4
2,11,5
2,12,4
2,13,4
2,14,4
2,15,4
2,16,4
2,17,4
2,18,4
2,19,4
2,20,3
2,21,4
2,22,3
2,23,4
2,24,4
2,25,4
2,26,4
2,27,4
2,28,4
2,29,4
2,30,4
2,31,4
2,32,4
2,33,4
2,34,4
2,35,4
2,36,3
2,37,4
2,38,4
2,39,3
2,40,4
2,41,4
2,42,4
2,43,3
2,44,4
2,45,4
2,46,4
2,47,4
2,48,4
2,49,3
2,50,4
2,51,4
2,52,3
2,53,4
2,54,4
2,55,4
2,56,5
2,57,4
2,58,4
2,59,4
2,60,4
2,61,4
2,62,4
2,63,4
2,64,4
2,65,4
2,66,4
2,67,4
2,68,3
2,69,4
2,70,4
2,71,4
2,72,3
2,73,4
2,74,4
2,75,4
2,76,4
2,77,4
2,78,4
2,79,3
2,80,4
2,81,3
2,82,4
2,83,4
2,84,4
2,85,4
2,86,4
2,87,4
2,88,3
2,89,4
2,90,4
2,91,4
2,92,4
2,93,5
2,94,4
2,95,4
2,96,3
2,97,3
2,98,4
2,99,4
2,100,4
2,101,4
2,102,4
2,103,4
2,104,3
2,105,4
2,106,4
2,107,4
2,108,4
2,109,4
2,110,3
2,111,4
2,112,3
2,113,3
2,114,4
2,115,4
2,116,4
2,117,4
2,118,4
2,119,4
2,120,4
2,121,4
2,122,4
2,123,4
2,124,4
2,125,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,3
3,11,4
3,12,4
3,13,4
3,14,4
3,15,4
3,16,4
3,17,4
3,18,4
3,19,4
3,20,3
3,21,4
3,22,4
3,23,4
3,24,4
3,25,4
3,26,3
3,27,4
3,28,4
3,29,4
3,30,4
3,31,4
3,32,4
3,33,3
3,34,3
3,35,4
3,36,4
3,37,3
3,38,4
3,39,4
3,40,4
3,41,4
3,42,4
3,43,5
3,44,3
3,45,4
3,46,4
3,47,4
3,48,4
3,49,4
3,50,4
3,51,3
3,52,4
3,53,4
3,54,4
3,55,3
3,56,3
3,57,4
3,58,4
3,59,4
3,60,4
3,61,3
3,62,4
3,63,4
3,64,4
3,65,3
3,66,4
3,67,4
3,68,4
3,69,4
3,70,4
3,71,4
3,72,4
3,73,4
3,74,3
3,75,4
3,76,4
3,77,3
3,78,4
3,79,4
3,80,4
3,81,4
3,82,4
3,83,4
3,84,4
3,85,4
3,86,4
3,87,4
3,88,4
3,89,4
3,90,4
3,91,3
3,92,3
3,93,4
3,94,4
3,95,4
3,96,4
3,97,4
3,98,4
3,99,4
3,100,4
3,101,5
3,102,4
3,103,4
3,104,3
3,105,4
3,106,4
3,107,4
3,108,4
3,109,4
3,110,3
3,111,4
3,112,4
3,113,4
3,114,3
3,115,4
3,116,4
3,117,4
3,118,4
3,119,3
3,120,4
3,121,5
3,122,4
3,123,5
3,124,4
3,125,4
4,5,4
4,6,4
4,7,3
4,8,4
4,9,4
4,10,4
4,11,4
4,12,3
4,13,4
4,14,4
4,15,4
4,16,4
4,17,4
4,18,4
4,19,3
4,20,4
4,21,4
4,22,3
4,23,4
4,24,4
4,25,4
4,26,4
4,27,4
4,28,4
4,29,4
4,30,5
4,31,4
4,32,4
4,33,4
4,34,4
4,35,4
4,36,4
4,37,3
4,38,4
4,39,4
4,40,4
4,41,4
4,42,4
4,43,3
4,44,4
4,45,4
4,46,4
4,47,4
4,48,4
4,49,4
4,50,4
4,51,4
4,52,4
4,53,3
4,54,4
4,55,3
4,56,4
4,57,4
4,58,4
4,59,4
4,60,4
4,61,4
4,62,4
4,63,4
4,64,3
4,65,4
4,66,4
4,67,4
4,68,3
4,69,4
4,70,4
4,71,4
4,72,3
4,73,4
4,74,4
4,75,4
4,76,4
4,77,4
4,78,4
4,79,4
4,80,3
4,81,4
4,82,3
4,83,4
4,84,4
4,85,4
4,86,4
4,87,4
4,88,3
4,89,4
4,90,4
4,91,4
4,92,4
4,93,3
4,94,4
4,95,4
4,96,4
4,97,4
4,98,4
4,99,4
4,100,4
4,101,4
4,102,4
4,103,4
4,104,4
4,105,4
4,106,4
4,107,4
4,108,4
4,109,4
4,110,4
4,111,4
4,112,4
4,113,4
4,114,4
4,115,4
4,116,4
4,117,3
4,118,4
4,119,4
4,120,4
4,121,4
4,122,4
4,123,4
4,124,4
4,125,4
5,6,3
5,7,4
5,8,4
5,9,4
5,10,4
5,11,4
5,12,4
5,13,4
5,14,4
5,15,3
5,16,3
5,17,4
5,18,4
5,19,4
5,20,4
5,21,4
5,22,4
5,23,4
5,24,4
5,25,4
5,26,4
5,27,4
5,28,4
5,29,4
5,30,4
5,31,5
5,32,4
5,33,4
5,34,4
5,35,4
5,36,5
5,37,3
5,38,4
5,39,4
5,40,4
5,41,4
5,42,4
5,43,4
5,44,4
5,45,4
5,46,5
5,47,3
5,48,4
5,49,4
5,50,4
5,51,3
5,52,4
5,53,4
5,54,4
5,55,4
5,56,4
5,57,4
5,58,4
5,59,4
5,60,4
5,61,4
5,62,4
5,63,4
5,64,4
5,65,4
5,66,4
5,67,4
5,68,3
5,69,4
5,70,4
5,71,4
5,72,4
5,73,4
5,74,3
5,75,4
5,76,4
5,77,4
5,78,3
5,79,4
5,80,4
5,81,4
5,82,4
5,83,4
5,84,4
5,85,4
5,86,4
5,87,3
5,88,4
5,89,4
5,90,4
5,91,4
5,92,3
5,93,4
5,94,4
5,95,4
5,96,3
5,97,4
5,98,4
5,99,3
5,100,4
5,101,3
5,102,5
5,103,4
5,104,4
5,105,4
5,106,4
5,107,3
5,108,4
5,109,3
5,110,3
5,111,3
5,112,4
5,113,4
5,114,4
5,115,4
5,116,4
5,117,4
5,118,4
5,119,4
5,120,3
5,121,4
5,122,4
5,123,4
5,124,4
5,125,3
