作品编号,专家1,专家2,专家3,专家4,专家5
1,12,97,82,55,54
2,109,11,88,26,13
3,67,123,93,96,89
4,100,62,17,106,53
5,61,44,23,117,98
6,78,47,104,66,51
7,52,28,9,71,113
8,6,110,103,34,77
9,21,92,85,41,7
10,122,56,114,81,95
11,90,24,40,57,60
12,4,68,19,91,83
13,118,87,39,121,45
14,35,115,38,8,58
15,101,22,50,15,80
16,59,36,27,72,79
17,120,48,16,107,74
18,86,5,32,102,108
19,46,105,111,37,116
20,29,20,75,70,10
21,99,18,94,1,84
22,76,73,64,43,69
23,30,112,49,33,42
24,63,2,14,25,3
25,119,124,65,31,125
26,107,70,11,97,73
27,80,71,68,13,69
28,101,38,78,4,43
29,54,124,26,34,48
30,125,108,6,28,100
31,8,109,36,116,33
32,56,83,16,64,59
33,98,123,84,49,50
34,52,102,41,23,45
35,2,17,15,99,92
36,89,58,88,20,114
37,65,117,19,63,90
38,62,55,22,46,29
39,39,86,81,76,42
40,120,9,40,12,44
41,121,51,113,67,91
42,61,30,103,119,25
43,104,27,95,105,57
44,93,24,5,7,72
45,115,14,74,94,37
46,96,35,110,79,66
47,18,75,112,3,106
48,60,87,77,32,31
49,85,10,111,1,118
50,82,21,122,47,53
51,99,7,29,66,30
52,43,86,18,88,16
53,24,76,105,20,36
54,117,124,77,58,49
55,79,74,39,2,21
56,120,57,64,62,103
57,9,11,38,67,84
58,65,55,116,25,80
59,72,61,106,37,122
60,44,73,68,111,54
61,34,3,47,107,1
62,113,78,17,40,81
63,42,13,92,94,12
64,35,32,90,97,98
65,119,100,48,14,85
66,115,123,27,28,5
67,22,82,75,56,41
68,109,69,108,118,51
69,26,121,89,31,70
70,63,112,45,125,110
71,15,10,71,4,46
72,59,114,104,19,101
73,8,93,95,91,23
74,96,33,60,52,50
75,6,102,83,87,53
76,52,48,110,11,91
77,94,50,35,2,119
78,118,29,5,16,9
79,104,112,22,96,23
80,49,74,87,105,4
81,28,39,41,124,93
82,44,122,63,66,59
83,19,115,3,30,40
84,38,20,6,82,121
85,18,46,69,117,89
86,97,76,60,26,111
87,100,7,84,15,86
88,102,21,61,14,71
89,114,13,54,123,43
90,27,67,70,85,47
91,116,75,53,120,113
92,65,1,77,73,24
93,81,103,12,99,32
94,92,58,10,125,36
95,78,34,108,83,90
96,56,57,79,101,106
97,8,68,25,42,98
98,37,95,55,33,45
99,72,88,64,107,80
100,62,51,31,30,45
101,17,109,49,114,47
102,14,83,122,111,32
103,59,70,34,37,24
104,125,91,102,101,118
105,12,109,6,62,75
106,44,17,22,97,33
107,41,115,18,113,107
108,74,23,20,40,69
109,19,58,15,72,1
110,89,5,38,42,105
111,8,61,77,64,84
112,100,55,103,36,124
113,67,90,106,92,104
114,68,7,60,27,117
115,31,28,29,81,73
116,120,56,43,3,10
117,53,119,78,112,13
118,11,98,16,4,66
119,116,88,21,108,110
120,94,96,46,121,54
121,87,76,85,79,80
122,65,93,71,26,86
123,52,39,63,123,99
124,82,48,57,25,50
125,51,2,9,95,7
126,35,18,53,55,23
127,56,76,30,44,48
128,68,49,95,38,61
129,50,21,89,24,28
130,104,121,85,117,109
131,65,99,42,60,69
132,122,107,57,86,17
133,102,72,73,103,82
134,8,31,13,96,2
135,26,78,84,46,114
136,116,12,123,71,79
137,10,81,93,77,16
138,64,118,94,15,113
139,120,22,105,54,70
140,47,100,115,97,110
141,119,5,36,83,63
142,4,9,58,59,14
143,25,20,66,1,90
144,51,41,87,40,101
145,92,111,91,45,43
146,29,74,11,125,80
147,19,106,27,88,6
148,52,75,98,67,124
149,62,32,39,37,3
150,108,112,35,99,91
151,34,33,32,101,58
152,66,42,43,23,124
153,17,9,117,74,54
154,93,50,18,102,29
155,71,119,115,59,98
156,77,62,19,48,96
